country,code,year,prod,gdp_per_cap,life_exp,total,beer,other,spirit,wine,pc_m_dis,pc_fm_dis,de_per_mil
Afghanistan,AFG,2000,3145.616943,,55.482,0,0,0,0,0,0.744928858,0.445760781,7.757235475
Angola,AGO,2000,11270.32227,555.2969419,47.113,1.85,1.07,0,0.38,0.4,1.854175811,1.046734109,18.12400791
Albania,ALB,2000,16018.79004,1175.788981,73.955,3.66,1.26,0,1.96,0.43,1.881837002,1.209847832,4.603521059
Andorra,AND,2000,,21936.5301,,12.36,3.25,0,2.76,6.36,1.704377671,0.577098598,11.09945154
United Arab Emirates,ARE,2000,188027.9219,33071.26869,74.239,1.64,0.51,0,1.06,0.07,0.760650804,0.461457775,5.545838496
Argentina,ARG,2000,39482.71094,7669.273916,73.832,7.68,1.79,0.06,0.52,5.3,3.642429158,1.009305723,25.50242202
Armenia,ARM,2000,7840.966797,622.7427477,71.409,2.9,0.18,0,2.52,0.2,2.562687682,0.849900112,16.09421001
Antigua and Barbuda,ATG,2000,,9932.029681,73.541,7.27,1.94,0.02,4.18,1.14,3.263106338,1.148989346,58.03147986
Australia,AUS,2000,75426.11719,21690.921,79.23414634,10.17,5.07,0.08,2.07,2.95,1.887733388,0.981154163,14.5658118
Austria,AUT,2000,83072.59375,24564.45829,78.12682927,13.2,6.8,0,2.1,4.3,2.923485916,0.993377839,30.27858923
Azerbaijan,AZE,2000,11491.44238,655.0974326,66.763,0.65,0.17,0,0.43,0.05,4.061529846,0.988517287,88.39125385
Burundi,BDI,2000,1808.886963,135.9984455,51.545,6.61,1.46,5.14,0,0.01,2.268810967,0.973342129,36.92563498
Belgium,BEL,2000,92404.13281,23207.40591,77.72195122,11.21,6.15,0,1,4.05,2.093215158,0.698382964,26.52286254
Benin,BEN,2000,4241.079102,374.1923942,55.391,1.34,0.54,0.37,0.31,0.12,1.300873727,1.104092749,19.24110519
Burkina Faso,BFA,2000,2596.339111,226.4759814,50.489,3.71,0.4,2.99,0.29,0.04,1.280595115,1.123035593,23.34012621
Bangladesh,BGD,2000,4692.419922,405.6033071,65.324,0.01,0,0,0,0,1.77568379,0.953632406,7.615441794
Bulgaria,BGR,2000,25964.38672,1609.280586,71.66341463,9.69,2.99,0,4.65,2.05,2.193029581,1.162965342,15.33320372
Bahrain,BHR,2000,104947.8047,13636.34668,74.44,2.15,0.54,0,1.31,0.3,0.851573989,0.464581631,11.07915143
"Bahamas, The",BHS,2000,52462.91406,21241.2367,72.37,12.15,4.04,0.03,6.29,1.79,3.001130262,1.032161434,35.97743855
Bosnia and Herzegovina,BIH,2000,21626.01172,1461.75052,74.413,3.64,2.57,0,0.85,0.21,3.943510619,1.729685753,58.7115363
Belarus,BLR,2000,15933.26953,1276.288034,68.91219512,12.98,1.18,6.6,5.02,0.17,4.282832844,3.805646445,145.9343633
Belize,BLZ,2000,21607.96094,3364.423711,68.329,4.79,2.83,0,1.82,0.14,2.714132765,0.84982842,37.9805335
Bolivia,BOL,2000,10640.65039,1007.002869,60.69,2.32,1.68,0,0.56,0.07,2.359886729,0.786556183,34.50012598
Brazil,BRA,2000,29091.81055,3739.119036,70.055,7.26,3.33,0.01,3.61,0.31,4.29694798,1.303855993,42.95620899
Barbados,BRB,2000,29647.55859,11567.66612,73.377,7.43,2.76,0.03,4.03,0.61,2.207916628,0.836767362,12.72554984
Brunei Darussalam,BRN,2000,184403.3906,18008.44826,75.202,0.37,0.19,0.4,0.15,0.03,1.097611975,0.408013206,2.160255846
Bhutan,BTN,2000,9423.367188,765.8632358,60.758,0.17,0.17,0,0,0,2.61306306,1.55052545,20.9979772
Botswana,BWA,2000,33648.33594,3349.068823,49.03,5.37,2.3,2.19,0.54,0.34,2.396670108,1.013795604,38.08189798
Central African Republic,CAF,2000,2114.832031,243.5429317,43.937,1.51,0.42,1.04,0.02,0.03,1.969532904,1.038531208,25.71946905
Canada,CAN,2000,76226.72656,24124.16917,79.23658537,7.6,4.3,0,2.1,1.3,2.086666579,1.071212415,22.49303765
Switzerland,CHE,2000,93151.77344,37868.32306,79.6804878,11.26,3.39,0.12,1.94,5.81,2.061010406,0.699768451,27.08371649
Chile,CHL,2000,39690.33203,5101.368479,76.793,6.24,1.79,0,1.97,2.45,3.66174558,1.451681131,29.99077702
China,CHN,2000,6553.757813,959.3724836,71.955,3.06,0.93,0,1.99,0.14,1.805090804,0.516095987,13.18768572
Cote d'Ivoire,CIV,2000,8303.560547,642.254714,46.672,3.45,0.57,2.58,0.04,0.26,1.434172867,1.073761236,23.5119926
Cameroon,CMR,2000,6439.089844,660.1926971,50.026,3.91,2.07,1.77,0,0.07,1.390721243,1.180472222,26.39718116
"Congo, Dem. Rep.",COD,2000,1396.21106,405.4696531,50.041,1.98,0.38,1.59,0.01,0,1.7759477,1.014486656,18.19343483
"Congo, Rep.",COG,2000,14112.25684,998.1968921,51.397,2.26,1.6,0,0.43,0.23,2.00251194,1.173149271,26.8061195
Colombia,COL,2000,25194.41797,2472.197831,71.019,4.66,2.89,0.03,1.7,0.03,2.392596809,0.848548679,2.594103081
